androidx/appcompat: {androidx/appcompat, 58dda6a377126c5b088f1befd060ae28}
androidx/collection: {androidx/collection, 1d1aa9b0e3be2156b8c47c48d1212ed0}
androidx/transition: {androidx/transition, 1648d44371e47462d092aac6c2a1dd96}
androidx/viewpager/widget: {androidx/viewpager/widget, e53ffb85b5f952d32a9c30f7c95b75bf}
com/makeramen/roundedimageview: {com/makeramen/roundedimageview, fa10249e1e1a5d6173573f2080e942ac}
android/app: {android/app, c4e9eeb25e17c46354752ac4239a9772}
androidx/customview/view: {androidx/customview/view, c3b3beb9393315adfa34bad026d4a89d}
org/whispersystems/curve25519: {org/whispersystems/curve25519, 3016467aa8e30eb9713b45746f8f0be3}
androidx/recyclerview: {androidx/recyclerview, 8af47c400ba812698aca76e11bab912e}
androidx/swiperefreshlayout: {androidx/swiperefreshlayout, cdc591d0923956d0a0ea26035a8b8f89}
okhttp3/internal/http1: {[okhttp3/internal/http, okhttp3/internal/connection, okhttp3/internal/concurrent, okhttp3/internal/http1, ], daa4452fcceab8b51e59296afcc51896}
kotlin/jvm: {kotlin/jvm, b9d40dc9e77eff0e9a68524a29a230b1}
kotlin/io: {kotlin/io, bf78859827d5a086e77cdc38f114fafe}
org/bouncycastle/jcajce: {[org/bouncycastle/jcajce, org/bouncycastle/crypto, ], 16ee7a295101f1b0e8bcd66a5cbdde69}
de/gultsch/minidns: {de/gultsch/minidns, 618078b5f457d813f469c8044030f6ea}
androidx/profileinstaller: {androidx/profileinstaller, b6d24c6fa81edb4f3644cdb0efc862c6}
org/bouncycastle/math: {org/bouncycastle/math, fd92572bf899c43714c9b55708ec1adc}
org/osmdroid/events: {[org/osmdroid/views, org/osmdroid/tileprovider, org/osmdroid/util, org/osmdroid/events, org/osmdroid/api, ], bb176233b8ab1a5a260b83a3a1681ba0}
com/google/protobuf: {com/google/protobuf, eac818df9ef7309f6d3eeadf7a05701d}
androidx/coordinatorlayout: {androidx/coordinatorlayout, 1835e44baa220950146f1fe3380e68bc}
com/google/zxing: {com/google/zxing, 28f54591daf930efd5a00e0b60e75ec5}
org/hsluv: {org/hsluv, 93fb965f6db96c3ca8f744a07cee26a0}
gnu/inet/encoding: {gnu/inet/encoding, 7a9c4e5378a6746f0399d460c6862127}
androidx/arch/core: {androidx/arch/core, 0fbc83198708ed3638bcbb1d0306109d}
androidx/vectordrawable/graphics: {androidx/vectordrawable/graphics, e09b2eae6f0ea6f6a975786d5902e371}
com/canhub/cropper: {com/canhub/cropper, b278760f7090656a0db4c91d36ff6036}
androidx/emoji2/bundled: {androidx/emoji2/bundled, 1be23e65c9da71a424503b3ed1e1a1c4}
okio/internal: {okio/internal, ca7b68abe43e2c9f4dcec22d0e9752b6}
org/metalev/multitouch: {org/metalev/multitouch, 7bba755a17a565fceb278870b7e6a136}
androidx/concurrent/futures: {androidx/concurrent/futures, f8d473da48f4b3354344019e700eaf0a}
org/bouncycastle/pqc: {[org/bouncycastle/pqc, org/bouncycastle/crypto, org/bouncycastle/asn1, ], 8de3856cbfdfce970dc56e1fa1d9e483}
org/whispersystems/libsignal: {org/whispersystems/libsignal, f3329a0ff657a602910d99c292ff137d}
retrofit2: {retrofit2, a674d22a6a238414c91d9fa6cb8b7d76}
kotlin/collections: {kotlin/collections, 05a208297b1378693e0559e946bbeb8d}
androidx/fragment: {androidx/fragment, c32398049e4fc82afdb84a6e82687657}
com/otaliastudios/opengl: {com/otaliastudios/opengl, a5bf1ad909ec2349a3405e72bedc2d0b}
org/osmdroid/config: {org/osmdroid/config, 060f1b75d6c252bf4471f3b4ccc4be17}
org/webrtc: {org/webrtc, 3f8b666f8e83fb3fa36da31d55b54bac}
androidx/customview/widget: {androidx/customview/widget, 9bc24cfdb470e4a02ffa12005cce35ff}
kotlin: {kotlin, 4014d28a58a85cc534e2af63d9f8e568}
kotlin/coroutines: {kotlin/coroutines, 6d4b7a86d18716e5bdd32e6367f71187}
kotlin/comparisons: {kotlin/comparisons, 17e1c78e995528b930058164eed73d30}
androidx/interpolator/view: {androidx/interpolator/view, b0cd30ad7edc905a01d8c1d4b1903fa4}
okhttp3/internal/http2: {[okhttp3/internal/concurrent, okhttp3/internal/http2, ], f4541a0f146fcc81ae5107fbf3dffb48}
androidx/emoji2/viewsintegration: {androidx/emoji2/viewsintegration, e2f8c15d10a5533ad0751093682f3e9a}
androidx/emoji2/text: {androidx/emoji2/text, 32fc332fff0f3e7365b72b0d94e75e60}
org/bouncycastle/cert: {[org/bouncycastle/asn1, org/bouncycastle/cert, ], c15d8fb211fea218c7571459df4cf66f}
retrofit2/converter/gson: {retrofit2/converter/gson, e3dcf7a5eb53966bc2965325f7c34beb}
com/otaliastudios/transcoder: {com/otaliastudios/transcoder, fa7dc3d2c938e83127c70e8180c45536}
androidx/constraintlayout/solver: {androidx/constraintlayout/solver, 9c9c0b0cf55a451ec6bfdd1d6277c05f}
kotlin/ranges: {kotlin/ranges, 50190a942e05d4420df7fed5f28cccaf}
androidx/tracing: {androidx/tracing, acff8b6406b400d7d9dd134708d5ae37}
com/google/gson: {com/google/gson, b4c1a16c7544a62b65cc3b8e13e058ad}
okio: {okio, 2c38fe797a44df9957449961e49b7f1b}
